issue_date,issue_time,marked_time,color,location,agency,violation_code,violation_description,fine_amount,latitude,longitude,agency_description,issue_year
2019-02-27,1824.0,,RD,801 EL CENTRO AVE,54.0,80.58L,PREFERENTIAL PARKING,68.0,6463433.385183999,1853584.474234,,2019.0
2019-07-26,2343.0,,WT,6300 COLFAX AVE,53.0,80.69A+,STOP/STAND PROHIBIT,93.0,6444390.766406,1889882.429647,,2019.0
2019-07-25,859.0,,YE,4400 MOORPARK WAY,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6452964.261519,1877302.583522,,2019.0
2019-04-01,156.0,,MR,238 119TH ST E,55.0,80.69B,NO PARKING,73.0,6477660.135675,1795080.897686,,2019.0
2019-05-20,1033.0,,GY,358 N PARKMAN AVE,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6477543.39642,1849817.8127830003,,2019.0
2019-05-14,1934.0,,GY,1500 EASTLAKE AV,56.0,88.13B+,METER EXP.,63.0,6499498.575721,1845294.553083,,2019.0
2019-02-23,839.0,,WT,851 SAN JULIAN ST S,56.0,88.13B+,METER EXP.,63.0,6485798.228002,1836573.586371,,2019.0
2019-01-03,831.0,,WT,1454 AVENUE 46 N,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6496228.44035,1867021.545459,,2019.0
2019-08-15,846.0,,WT,21025 LASSEN ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6382986.263427,1913879.641803,,2019.0
2019-06-05,1145.0,,GY,CABRILLO AVE/18TH ST,1.0,5204A,EXPIRED TAGS,25.0,99999.0,99999.0,,2019.0
2019-06-19,2238.0,,GY,4700 LA RODA AVE,56.0,80.69B,NO PARKING,73.0,6499035.165085,1870485.426978,,2019.0
2019-01-03,1939.0,,GY,4328 GREENBUSH AVE,53.0,80.58L,PREFERENTIAL PARKING,68.0,6432799.503895,1877000.315875,,2019.0
2019-03-04,341.0,,WT,2530 13TH AVE,51.0,80.54H1,OVNIGHT PRK W/OUT PE,68.0,6461095.443684,1834846.081607,,2019.0
2019-07-08,954.0,,RD,560 94TH ST W,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6475542.235831,1804674.270018,,2019.0
2019-04-29,1057.0,,BL,1001 MONUMENT ST,51.0,88.13B+,METER EXP.,63.0,6402874.58887,1839858.212955,,2019.0
