issue_date,issue_time,marked_time,color,location,agency,violation_code,violation_description,fine_amount,latitude,longitude,agency_description,issue_year
2019-04-12,1009.0,,WT,11650 IDAHO AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6424102.510897,1838400.387042,,2019.0
2019-06-17,812.0,,WT,445 DETROIT ST S,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6457147.3999,1846741.573995,,2019.0
2019-01-09,1150.0,,WT,17418 LEADWELL ST,53.0,80.73.2,EXCEED 72HRS-ST,68.0,99999.0,99999.0,,2019.0
2019-01-03,1137.0,,SL,1600 HOPE ST S,56.0,80.56E3,GREEN ZONE,58.0,6480563.252497,1835706.990273,,2019.0
2019-09-13,821.0,,SL,1352 FAIRFAX AVE N,54.0,80.69B,NO PARKING,73.0,6452212.052195,1857091.997578,,2019.0
2019-03-05,1116.0,,WT,1321 MANSFIELD AVE,51.0,80.58L,PREFERENTIAL PARKING,68.0,6457146.755427,1840685.692053,,2019.0
2019-01-04,834.0,,SL,10627 MOORPARK ST,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6451944.361548,1877304.992645,,2019.0
2019-02-11,1140.0,,BL,1353 MARTEL AVE N,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6455509.359639,1857285.46385,,2019.0
2019-08-01,122.0,,BK,140 82ND ST E,55.0,80.69B,NO PARKING,73.0,6478347.322681,1809782.733603,,2019.0
2019-05-29,1034.0,,GY,10700 WESTMINSTER AVE,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6437123.777280999,1831355.936199,,2019.0
