SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,LatLng
AE223,101 HEWITT ST,Single-Space,FLAT,$1.50,2HR,"(34.047593, -118.236175)"
VH317,4800 HOLLYWOOD BLVD,Single-Space,FLAT,$1.50,1HR,"(-118.294094, 34.101706)"
WW2033,3901 WILSHIRE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.061797, -118.312482)"
CB664,901 WALL ST,Single-Space,TOD,$1.50 - $6.00,2HR,"(34.038076, -118.252702)"
LH20,2400 NORTH BROADWAY,Single-Space,FLAT,$1.50,1HR,"(34.073528, -118.216714)"
TZ590,18701 BURBANK BLVD,Single-Space,FLAT,$1.50,2HR,"(34.172451, -118.541228)"
CB495,1400 SANTEE ST,Single-Space,TOD,$1.00 - $2.00,2HR,"(34.033498, -118.259512)"
WW602,650 ARDMORE AVE,Single-Space,FLAT,$1.50,2HR,"(34.060675, -118.301928)"
RS11,8900 OLIN ST,Single-Space,FLAT,$1.50,2HR,"(34.036368, -118.388529)"
WS560,10901 ASHTON AVE,Single-Space,FLAT,$1.50,2HR,"(34.05714, -118.446055)"
WW167,4600 OAKWOOD AVE,Single-Space,FLAT,$1.50,1HR,"(34.077555, -118.30872)"
PR596,6001 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.052894, -118.373333)"
LM157,700 LA BREA AVE,Single-Space,FLAT,$1.50,2HR,"(34.084847, -118.343934)"
VH212,4501 AVOCADO ST,Single-Space,FLAT,$1.50,2HR,"(34.110772, -118.287826)"
CB4241,1000 WALL ST,Single-Space,TOD,$1.00 - $2.00,2HR,"(34.037387, -118.253216)"
CB2863,1400 OLIVE ST,Single-Space,TOD,$1.00 - $3.00,4HR,"(34.036155, -118.264496)"
C1084,601 32ND ST,Single-Space,FLAT,$1.50,2HR,"(34.023808, -118.279436)"
SP880,601 BEACON ST,Single-Space,FLAT,$1.50,2HR,"(33.737972, -118.280502)"
P40A,900 VIA DE LA PAZ,Single-Space,FLAT,$1.00,2HR,"(34.047651, -118.526914)"
WH96,5301 PARALTA AVE,Single-Space,FLAT,$1.50,1HR,"(34.167073, -118.590829)"
VN1169,6800 VAN NUYS BLVD,Single-Space,FLAT,$1.50,2HR,"(34.196118, -118.448545)"
WW2614,200 OXFORD AVE,Single-Space,FLAT,$1.50,1HR,"(34.069306, -118.307822)"
52115,661 JEFFERSON BLVD,Multi-Space,FLAT,$1.50,1HR,"(34.022871, -118.281876)"
61404,64 MARKET ST,Multi-Space,TOD,$1.00 - $3.00,1HR,"(33.988057, -118.473124)"
SV95,1501 WILCOX AVE,Single-Space,FLAT,$1.00,2HR,"(34.099396, -118.331113)"
56478,10800 SANTA MONICA BLVD,Multi-Space,FLAT,$1.50,2HR,"(34.050198, -118.43457)"
BF145A,7801 ROSEWOOD AVE,Single-Space,FLAT,$1.50,2HR,"(34.080245, -118.360345)"
LP27,4201 CRENSHAW BLVD,Single-Space,FLAT,$1.50,2HR,"(34.005786, -118.334207)"
VW1723,1301 WESTMORELAND AVE,Single-Space,FLAT,$1.50,2HR,"(34.046829, -118.289327)"
CP68,21801 SHERMAN WAY,Single-Space,FLAT,$1.50,2HR,"(34.201131, -118.603403)"
WA1597,1801 PICO BLVD,Single-Space,FLAT,$1.50,1HR,"(34.045747, -118.27915)"
LC67,8401 ROMAINE ST,Single-Space,FLAT,$1.50,2HR,"(34.088838, -118.37601)"
HW204,5200 HOLLYWOOD BLVD,Single-Space,FLAT,$1.50,15MIN,"(34.101666, -118.303843)"
CB1844,200 WINSTON ST,Single-Space,TOD,$2.00 - $5.00,2HR,"(34.046241, -118.246647)"
SV817,1300 HIGHLAND AVE,Single-Space,FLAT,$1.00,2HR,"(34.09579, -118.338517)"
R366,7501 RESEDA BLVD,Single-Space,FLAT,$1.50,2HR,"(34.207131, -118.536188)"
CT111,800 NORTH BROADWAY,Single-Space,TOD,$1.00 - $5.00,2HR,"(34.062926, -118.237909)"
VW1443,400 SHATTO PL,Single-Space,FLAT,$1.50,2HR,"(34.065388, -118.289847)"
52226,1110 JEFFERSON BLVD,Multi-Space,FLAT,$1.50,4HR,"(34.025398, -118.288677)"
OF111,5901 OLYMPIC BLVD,Single-Space,FLAT,$1.50,1HR,"(34.057665, -118.360059)"
CB1449,1001 HOPE ST,Single-Space,TOD,$1.00 - $2.00,4HR,"(34.042674, -118.262784)"
TZ420,5501 DONNA AVE,Single-Space,FLAT,$1.50,2HR,"(34.172153, -118.548393)"
VN671,6201 TYRONE AVE,Single-Space,JUMP,$1.5/H - $6/10H,10HR,"(34.184268, -118.44445)"
CB1399,800 HOPE ST,Single-Space,TOD,$1.00 - $1.50,4HR,"(34.046087, -118.259349)"
PC140,1300 4TH AVE,Single-Space,FLAT,$1.50,2HR,"(34.046756, -118.321172)"
56158,10527 SANTA MONICA BLVD,Multi-Space,FLAT,$1.50,2HR,"(34.05532, -118.427574)"
56611,10678 SANTA MONICA BLVD,Multi-Space,FLAT,$1.50,2HR,"(34.052041, -118.431604)"
CB839,1201 SANTEE ST,Single-Space,TOD,$1.00 - $5.00,2HR,"(34.036172, -118.257515)"
VM202,8401 VERMONT AVE,Single-Space,FLAT,$1.50,4HR,"(33.961592, -118.291815)"
CC1416A,100 2ND ST,Single-Space,TOD,$2.00 - $3.00,15MIN,"(34.050776, -118.244293)"
HO64,1601 CHEROKEE AVE,Single-Space,TOD,$1.00 - $1.50,2HR,"(34.100784, -118.335097)"
LM701,100 LA BREA AVE,Single-Space,FLAT,$1.50,1HR,"(34.072305, -118.343912)"
WF81,8301 3RD ST,Single-Space,FLAT,$1.50,2HR,"(34.072892, -118.371335)"
VN502,14500 ERWIN ST,Single-Space,FLAT,$1.50,2HR,"(34.183586, -118.450463)"
WU69,401 BIXEL ST,Single-Space,FLAT,$1.50,1HR,"(34.056481, -118.260571)"
GA244,3101 LOS FELIZ BLVD,Single-Space,FLAT,$1.50,2HR,"(34.124284, -118.267239)"
OF91,5900 OLYMPIC BLVD,Single-Space,FLAT,$1.50,1HR,"(34.057509, -118.360429)"
SL95,2300 HYPERION AVE,Single-Space,FLAT,$1.50,4HR,"(34.101732, -118.273008)"
WN276,101 G ST,Single-Space,FLAT,$1.50,2HR,"(33.778553, -118.263166)"
VN135,14500 HAYNES ST,Single-Space,FLAT,$1.50,2HR,"(34.189634, -118.45069)"
CP315,22101 SHERMAN WAY,Single-Space,FLAT,$1.50,2HR,"(34.20113, -118.608579)"
CB4452,900 OLIVE ST,Single-Space,FLAT,$1.00,4HR,"(34.043211, -118.258568)"
WA1145,2201 WILSHIRE BLVD,Single-Space,FLAT,$1.50,4HR,"(34.059191, -118.277279)"
ED45,500 CERES AVE,Single-Space,FLAT,$1.00,4HR,"(34.040846, -118.240355)"
HP61,100 AVENUE 58,Single-Space,FLAT,$1.50,2HR,"(34.109758, -118.191942)"
LT341,300 OMAR AVE,Single-Space,TOD,$1.00 - $1.50,4HR,"(34.045802, -118.241758)"
WW1625A,3100 8TH ST,Single-Space,FLAT,$1.50,1HR,"(34.057642, -118.297281)"
MM431,5900 6TH ST,Single-Space,FLAT,$1.50,4HR,"(34.064787, -118.356484)"
CB3872,500 9TH ST,Single-Space,TOD,$4.00 - $5.00,4HR,"(34.04473, -118.259966)"
TZ627,18600 CLARK ST,Single-Space,FLAT,$1.50,2HR,"(34.171568, -118.54018)"
LH269,101 AVENUE 24,Single-Space,FLAT,$1.50,2HR,"(34.075542, -118.217043)"
VN162,14501 HAMLIN ST,Single-Space,FLAT,$1.50,2HR,"(34.188746, -118.449325)"
VS32,4600 FOUNTAIN AVE,Single-Space,FLAT,$1.50,2HR,"(34.095547, -118.290229)"
CB2598,500 FREMONT AVE,Single-Space,TOD,$1.50 - $4.00,2HR,"(34.052217, -118.258415)"
RA72,101 ROBERTSON BLVD,Single-Space,FLAT,$2.50,2HR,"(34.07486, -118.383839)"
LM804,600 LA BREA AVE,Single-Space,FLAT,$1.50,1HR,"(34.082636, -118.343931)"
LT439,300 CENTRAL AVE,Single-Space,FLAT,$1.00,4HR,"(34.044967, -118.239495)"
CB2731,601 SAN PEDRO ST,Single-Space,FLAT,$1.00,2HR,"(34.041213, -118.246376)"
LC233,100 LA JOLLA AVE,Single-Space,FLAT,$1.50,2HR,"(34.075795, -118.367902)"
PB368,5000 PICO BLVD,Single-Space,FLAT,$1.50,2HR,"(34.047842, -118.348691)"
BH21,351 FICKETT ST,Single-Space,FLAT,$1.50,2HR,"(34.046277, -118.205679)"
SVV400,700 HELIOTROPE DR,Single-Space,FLAT,$1.50,4HR,"(34.084997, -118.294866)"
GA157,3301 GLENDALE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.119949, -118.259009)"
CB526,401 PICO BLVD,Single-Space,TOD,$1.00 - $2.00,2HR,"(34.034129, -118.256316)"
SV429,1300 VINE ST,Single-Space,TOD,$1.00 - $1.50,2HR,"(34.094893, -118.326523)"
TZ577,18700 PHILIPRIMM ST,Single-Space,FLAT,$1.50,2HR,"(34.172982, -118.541964)"
P181,1000 SWARTHMORE AVE,Single-Space,FLAT,$1.00,2HR,"(34.048106, -118.524726)"
WW249,4400 2ND ST,Single-Space,FLAT,$1.50,1HR,"(34.071081, -118.310038)"
LM479,7201 BEVERLY BLVD,Single-Space,FLAT,$1.50,1HR,"(34.076258, -118.346911)"
WW2165,3350 WILSHIRE BLVD,Single-Space,FLAT,$1.50,1HR,"(34.061665, -118.297112)"
WW467,651 HOBART BLVD,Single-Space,FLAT,$1.50,2HR,"(34.060187, -118.305418)"
VN419,6400 VESPER AVE,Single-Space,FLAT,$1.50,2HR,"(34.188192, -118.450836)"
